tid,BarId,DrinkerId,SubTotal,Tax,Tip,Total
1667,4,85,7.26,0.51,1.45,9.22
1668,87,404,31.32,2.19,6.26,39.77
1669,111,416,11.01,0.77,2.2,13.98
1670,41,21,10.14,0.71,2.03,12.88
1671,52,453,25.83,1.81,5.17,32.81
1672,13,27,25.32,1.77,5.06,32.15
1673,181,103,8.88,0.62,1.78,11.28
1674,16,332,12.06,0.84,2.41,15.31
1675,171,88,10.24,0.72,2.05,13.01
1676,159,38,4.21,0.29,0.84,5.34
1677,163,294,10.99,0.77,2.2,13.96
1678,14,36,12.82,0.9,2.56,16.28
1679,131,369,24.63,1.72,4.93,31.28
1680,6,416,8.06,0.56,1.61,10.23
1681,191,217,24.72,1.73,4.94,31.39
1682,69,133,36.42,2.55,7.28,46.25
1683,228,288,24.7,1.73,4.94,31.37
1684,160,320,11.68,0.82,2.34,14.84
1685,242,292,5.6,0.39,1.12,7.11
1686,4,76,7.26,0.51,1.45,9.22
1687,134,441,25.5,1.79,5.1,32.39
1688,235,101,8.07,0.56,1.61,10.24
1689,216,15,12.52,0.88,2.5,15.9
1690,242,213,8.96,0.63,1.79,11.38
1691,150,384,12.47,0.87,2.49,15.83
1692,90,360,5.34,0.37,1.07,6.78
1693,158,85,8.79,0.62,1.76,11.17
1694,158,316,4.36,0.31,0.87,5.54
1695,214,117,8.26,0.58,1.65,10.49
1696,128,428,6.51,0.46,1.3,8.27
1697,33,427,7.42,0.52,1.48,9.42
1698,210,320,32.04,2.24,6.41,40.69
1699,68,349,17.34,1.21,3.47,22.02
1700,167,191,20.56,1.44,4.11,26.11
1701,156,239,6.08,0.43,1.22,7.73
1702,65,140,6.26,0.44,1.25,7.95
1703,81,152,7.38,0.52,1.48,9.38
1704,162,334,14.67,1.03,2.93,18.63
1705,136,14,6.34,0.44,1.27,8.05
1706,16,210,5.15,0.36,1.03,6.54
1707,136,414,11.76,0.82,2.35,14.93
1708,94,478,8.79,0.62,1.76,11.17
1709,159,246,4.21,0.29,0.84,5.34
1710,178,128,12.5,0.88,2.5,15.88
1711,57,487,19.77,1.38,3.95,25.1
1712,64,367,16.3,1.14,3.26,20.7
1713,219,355,2.41,0.17,0.48,3.06
1714,103,61,19.2,1.34,3.84,24.38
1715,233,149,10.32,0.72,2.06,13.1
1716,63,396,2.58,0.18,0.52,3.28
1717,111,295,11.04,0.77,2.21,14.02
1718,8,34,6.9,0.48,1.38,8.76
1719,118,284,12.7,0.89,2.54,16.13
1720,163,299,21.98,1.54,4.4,27.92
1721,81,21,7.38,0.52,1.48,9.38
1722,47,190,16.46,1.15,3.29,20.9
1723,1,273,21.52,1.51,4.3,27.33
1724,23,69,2.97,0.21,0.59,3.77
1725,58,409,17.55,1.23,3.51,22.29
1726,242,119,5.6,0.39,1.12,7.11
1727,160,363,25.82,1.81,5.16,32.79
1728,25,151,6.67,0.47,1.33,8.47
1729,241,436,12.38,0.87,2.48,15.73
1730,224,4,8.82,0.62,1.76,11.2
1731,91,79,34.65,2.43,6.93,44.01
1732,177,430,11.27,0.79,2.25,14.31
1733,38,68,20.24,1.42,4.05,25.71
1734,217,139,7.63,0.53,1.53,9.69
1735,231,314,37.29,2.61,7.46,47.36
1736,230,286,21.0,1.47,4.2,26.67
1737,191,382,24.72,1.73,4.94,31.39
1738,222,283,25.64,1.79,5.13,32.56
1739,161,377,2.5,0.18,0.5,3.18
1740,203,31,25.05,1.75,5.01,31.81
1741,144,299,17.92,1.25,3.58,22.75
1742,109,128,2.81,0.2,0.56,3.57
1743,246,114,11.3,0.79,2.26,14.35
1744,13,330,28.59,2.0,5.72,36.31
1745,84,291,4.2,0.29,0.84,5.33
1746,175,270,2.64,0.18,0.53,3.35
1747,110,273,21.52,1.51,4.3,27.33
1748,11,85,4.52,0.32,0.9,5.74
1749,226,334,2.58,0.18,0.52,3.28
1750,9,398,4.42,0.31,0.88,5.61
1751,207,453,10.17,0.71,2.03,12.91
1752,160,13,20.08,1.41,4.02,25.51
1753,23,434,12.8,0.9,2.56,16.26
1754,97,464,4.48,0.31,0.9,5.69
1755,232,257,9.27,0.65,1.85,11.77
1756,28,366,21.0,1.47,4.2,26.67
1757,173,283,12.92,0.9,2.58,16.4
1758,73,487,5.56,0.39,1.11,7.06
1759,233,53,10.32,0.72,2.06,13.1
1760,159,114,9.31,0.65,1.86,11.82
1761,44,191,10.53,0.74,2.11,13.38
1762,162,338,10.65,0.75,2.13,13.53
1763,129,233,2.26,0.16,0.45,2.87
1764,40,46,4.52,0.32,0.9,5.74
1765,102,124,24.06,1.68,4.81,30.55
1766,58,239,2.1,0.15,0.42,2.67
1767,150,421,20.64,1.44,4.13,26.21
1768,224,79,8.82,0.62,1.76,11.2
1769,147,311,36.69,2.57,7.34,46.6
1770,94,43,8.79,0.62,1.76,11.17
1771,135,190,16.94,1.19,3.39,21.52
1772,125,138,7.26,0.51,1.45,9.22
1773,26,205,17.02,1.19,3.4,21.61
1774,187,491,17.26,1.21,3.45,21.92
1775,126,307,10.35,0.72,2.07,13.14
1776,48,19,11.59,0.81,2.32,14.72
1777,121,150,4.24,0.3,0.85,5.39
1778,188,382,10.81,0.76,2.16,13.73
1779,112,94,23.52,1.65,4.7,29.87
1780,248,32,18.3,1.28,3.66,23.24
1781,108,198,32.01,2.24,6.4,40.65
1782,120,79,12.28,0.86,2.46,15.6
1783,43,436,12.74,0.89,2.55,16.18
1784,61,270,31.35,2.19,6.27,39.81
1785,155,367,8.37,0.59,1.67,10.63
1786,250,230,11.53,0.81,2.31,14.65
1787,102,73,16.74,1.17,3.35,21.26
1788,22,336,32.97,2.31,6.59,41.87
1789,160,363,2.67,0.19,0.53,3.39
1790,147,207,23.73,1.66,4.75,30.14
1791,85,178,19.83,1.39,3.97,25.19
1792,6,15,20.22,1.42,4.04,25.68
1793,190,425,7.16,0.5,1.43,9.09
1794,81,404,7.38,0.52,1.48,9.38
1795,177,164,22.54,1.58,4.51,28.63
1796,71,80,4.52,0.32,0.9,5.74
1797,133,353,7.8,0.55,1.56,9.91
1798,161,315,22.8,1.6,4.56,28.96
1799,150,371,37.41,2.62,7.48,47.51
1800,55,414,12.69,0.89,2.54,16.12
1801,143,5,12.67,0.89,2.53,16.09
1802,30,195,2.04,0.14,0.41,2.59
1803,109,375,38.73,2.71,7.75,49.19
1804,204,44,3.75,0.26,0.75,4.76
1805,204,296,10.46,0.73,2.09,13.28
1806,246,298,22.6,1.58,4.52,28.7
1807,55,431,25.38,1.78,5.08,32.24
1808,143,226,6.0,0.42,1.2,7.62
1809,34,59,2.32,0.16,0.46,2.94
1810,145,456,21.0,1.47,4.2,26.67
1811,46,126,18.69,1.31,3.74,23.74
1812,38,440,11.48,0.8,2.3,14.58
1813,166,321,27.75,1.94,5.55,35.24
1814,89,316,23.42,1.64,4.68,29.74
1815,132,343,6.33,0.44,1.27,8.04
1816,193,7,6.42,0.45,1.28,8.15
1817,37,376,21.26,1.49,4.25,27.0
1818,35,384,10.56,0.74,2.11,13.41
1819,79,380,13.56,0.95,2.71,17.22
1820,147,29,24.46,1.71,4.89,31.06
1821,89,373,32.19,2.25,6.44,40.88
1822,100,177,11.58,0.81,2.32,14.71
1823,4,368,3.63,0.25,0.73,4.61
1824,61,425,3.44,0.24,0.69,4.37
1825,228,446,37.05,2.59,7.41,47.05
1826,88,126,7.71,0.54,1.54,9.79
1827,129,406,4.52,0.32,0.9,5.74
1828,223,299,7.68,0.54,1.54,9.76
1829,56,206,10.0,0.7,2.0,12.7
1830,75,3,8.73,0.61,1.75,11.09
1831,79,110,13.56,0.95,2.71,17.22
1832,88,110,3.27,0.23,0.65,4.15
1833,101,468,35.49,2.48,7.1,45.07
1834,86,230,9.56,0.67,1.91,12.14
1835,221,130,22.8,1.6,4.56,28.96
1836,88,106,22.58,1.58,4.52,28.68
1837,213,382,6.37,0.45,1.27,8.09
1838,236,181,37.41,2.62,7.48,47.51
1839,234,126,6.23,0.44,1.25,7.92
1840,36,331,2.77,0.19,0.55,3.51
1841,136,183,12.68,0.89,2.54,16.11
1842,185,153,15.24,1.07,3.05,19.36
1843,4,246,38.67,2.71,7.73,49.11
1844,22,108,10.05,0.7,2.01,12.76
1845,250,409,23.06,1.61,4.61,29.28
1846,61,435,36.48,2.55,7.3,46.33
1847,83,217,18.69,1.31,3.74,23.74
1848,156,404,30.33,2.12,6.07,38.52
1849,247,415,6.08,0.43,1.22,7.73
1850,146,159,2.75,0.19,0.55,3.49
1851,201,321,8.18,0.57,1.64,10.39
1852,56,71,8.13,0.57,1.63,10.33
1853,170,298,8.16,0.57,1.63,10.36
1854,232,225,8.96,0.63,1.79,11.38
1855,206,383,21.28,1.49,4.26,27.03
1856,145,131,4.92,0.34,0.98,6.24
1857,233,412,25.32,1.77,5.06,32.15
1858,50,373,8.79,0.62,1.76,11.17
1859,233,310,2.36,0.17,0.47,3.0
1860,117,469,34.17,2.39,6.83,43.39
1861,214,353,16.52,1.16,3.3,20.98
1862,100,190,30.63,2.14,6.13,38.9
1863,118,75,37.65,2.64,7.53,47.82
1864,175,474,35.76,2.5,7.15,45.41
1865,24,251,6.08,0.43,1.22,7.73
1866,238,396,5.28,0.37,1.06,6.71
1867,83,96,6.23,0.44,1.25,7.92
1868,145,474,11.42,0.8,2.28,14.5
1869,103,331,35.94,2.52,7.19,45.65
1870,89,117,28.11,1.97,5.62,35.7
1871,175,47,25.77,1.8,5.15,32.72
1872,85,216,11.19,0.78,2.24,14.21
1873,57,39,14.79,1.04,2.96,18.79
1874,10,306,5.22,0.37,1.04,6.63
1875,140,167,13.0,0.91,2.6,16.51
1876,67,57,13.78,0.96,2.76,17.5
1877,177,2,12.24,0.86,2.45,15.55
1878,241,264,18.57,1.3,3.71,23.58
1879,170,87,12.24,0.86,2.45,15.55
1880,170,351,8.16,0.57,1.63,10.36
1881,2,293,18.33,1.28,3.67,23.28
1882,194,193,19.05,1.33,3.81,24.19
1883,58,373,10.46,0.73,2.09,13.28
1884,233,309,4.72,0.33,0.94,5.99
1885,67,480,2.93,0.21,0.59,3.73
1886,17,105,17.88,1.25,3.58,22.71
1887,194,121,10.29,0.72,2.06,13.07
1888,69,484,4.86,0.34,0.97,6.17
1889,24,358,21.93,1.54,4.39,27.86
1890,135,399,8.47,0.59,1.69,10.75
1891,13,198,25.32,1.77,5.06,32.15
1892,152,493,31.44,2.2,6.29,39.93
1893,60,138,25.74,1.8,5.15,32.69
1894,80,168,7.23,0.51,1.45,9.19
1895,179,22,6.11,0.43,1.22,7.76
1896,156,367,17.06,1.19,3.41,21.66
1897,57,388,9.86,0.69,1.97,12.52
1898,92,213,7.23,0.51,1.45,9.19
1899,45,247,10.74,0.75,2.15,13.64
1900,246,343,33.9,2.37,6.78,43.05
1901,143,458,12.0,0.84,2.4,15.24
1902,248,126,12.2,0.85,2.44,15.49
1903,213,237,15.14,1.06,3.03,19.23
1904,115,76,20.88,1.46,4.18,26.52
1905,192,481,3.46,0.24,0.69,4.39
1906,87,197,20.88,1.46,4.18,26.52
1907,134,409,24.1,1.69,4.82,30.61
1908,21,416,18.15,1.27,3.63,23.05
1909,51,250,9.8,0.69,1.96,12.45
1910,221,399,12.84,0.9,2.57,16.31
1911,177,67,20.5,1.44,4.1,26.04
1912,93,174,10.59,0.74,2.12,13.45
1913,33,310,22.26,1.56,4.45,28.27
1914,138,170,13.41,0.94,2.68,17.03
1915,156,122,10.11,0.71,2.02,12.84
1916,83,157,18.69,1.31,3.74,23.74
1917,16,34,15.45,1.08,3.09,19.62
1918,131,111,8.21,0.57,1.64,10.42
1919,63,288,5.16,0.36,1.03,6.55
1920,240,223,12.18,0.85,2.44,15.47
1921,165,163,21.08,1.48,4.22,26.78
1922,49,379,2.51,0.18,0.5,3.19
1923,250,159,3.0,0.21,0.6,3.81
1924,45,120,24.4,1.71,4.88,30.99
1925,103,70,36.75,2.57,7.35,46.67
1926,197,462,2.68,0.19,0.54,3.41
1927,189,432,2.94,0.21,0.59,3.74
1928,75,412,6.51,0.46,1.3,8.27
1929,103,193,12.25,0.86,2.45,15.56
1930,109,303,22.94,1.61,4.59,29.14
1931,190,264,9.82,0.69,1.96,12.47
1932,168,316,34.38,2.41,6.88,43.67
1933,34,38,21.42,1.5,4.28,27.2
1934,231,424,37.29,2.61,7.46,47.36
1935,123,150,10.21,0.71,2.04,12.96
1936,158,412,4.36,0.31,0.87,5.54
1937,233,497,2.36,0.17,0.47,3.0
1938,201,134,24.96,1.75,4.99,31.7
1939,213,379,12.74,0.89,2.55,16.18
1940,59,362,30.96,2.17,6.19,39.32
1941,56,388,24.39,1.71,4.88,30.98
1942,219,278,2.41,0.17,0.48,3.06
1943,84,7,2.24,0.16,0.45,2.85
1944,108,344,34.98,2.45,7.0,44.43
1945,68,270,5.2,0.36,1.04,6.6
1946,136,158,37.74,2.64,7.55,47.93
1947,13,453,9.53,0.67,1.91,12.11
1948,131,215,16.42,1.15,3.28,20.85
1949,191,318,21.5,1.51,4.3,27.31
1950,249,466,7.18,0.5,1.44,9.12
1951,62,124,4.1,0.29,0.82,5.21
1952,214,183,7.8,0.55,1.56,9.91
1953,26,174,8.51,0.6,1.7,10.81
1954,19,222,9.39,0.66,1.88,11.93
1955,161,446,23.66,1.66,4.73,30.05
1956,223,472,14.43,1.01,2.89,18.33
1957,125,244,3.04,0.21,0.61,3.86
1958,161,379,11.7,0.82,2.34,14.86
1959,219,381,11.64,0.81,2.33,14.78
1960,207,492,21.52,1.51,4.3,27.33
1961,169,366,11.36,0.8,2.27,14.43
1962,197,171,5.36,0.38,1.07,6.81
1963,128,391,22.2,1.55,4.44,28.19
1964,229,312,26.67,1.87,5.33,33.87
1965,183,205,25.08,1.76,5.02,31.86
1966,89,183,21.46,1.5,4.29,27.25
1967,1,301,21.52,1.51,4.3,27.33
1968,196,175,12.88,0.9,2.58,16.36
1969,200,151,2.08,0.15,0.42,2.65
1970,74,334,10.36,0.73,2.07,13.16
1971,93,105,16.36,1.15,3.27,20.78
1972,106,322,10.36,0.73,2.07,13.16
1973,124,202,37.17,2.6,7.43,47.2
1974,67,425,4.24,0.3,0.85,5.39
1975,84,234,2.1,0.15,0.42,2.67
1976,97,288,6.65,0.47,1.33,8.45
1977,127,162,25.62,1.79,5.12,32.53
1978,147,464,24.46,1.71,4.89,31.06
1979,106,1,21.93,1.54,4.39,27.86
1980,117,164,22.78,1.59,4.56,28.93
1981,123,115,12.0,0.84,2.4,15.24
1982,193,45,16.44,1.15,3.29,20.88
1983,118,137,19.05,1.33,3.81,24.19
1984,23,194,2.97,0.21,0.59,3.77
1985,41,166,9.0,0.63,1.8,11.43
1986,78,476,9.91,0.69,1.98,12.58
1987,55,382,12.69,0.89,2.54,16.12
1988,164,156,27.48,1.92,5.5,34.9
1989,134,468,17.0,1.19,3.4,21.59
1990,12,401,24.4,1.71,4.88,30.99
1991,5,184,31.29,2.19,6.26,39.74
1992,17,74,10.08,0.71,2.02,12.81
1993,217,161,31.35,2.19,6.27,39.81
1994,55,453,12.69,0.89,2.54,16.12
1995,62,451,4.68,0.33,0.94,5.95
1996,180,10,16.36,1.15,3.27,20.78
1997,213,92,19.11,1.34,3.82,24.27
1998,11,21,6.78,0.47,1.36,8.61
1999,10,371,32.67,2.29,6.53,41.49
2000,36,24,31.26,2.19,6.25,39.7
2001,64,193,19.35,1.35,3.87,24.57
2002,46,160,20.0,1.4,4.0,25.4
2003,172,333,30.99,2.17,6.2,39.36
2004,60,427,20.4,1.43,4.08,25.91
2005,176,29,4.92,0.34,0.98,6.24
2006,159,296,21.54,1.51,4.31,27.36
2007,82,55,12.57,0.88,2.51,15.96
2008,75,250,6.06,0.42,1.21,7.69
2009,228,84,37.05,2.59,7.41,47.05
2010,210,178,23.76,1.66,4.75,30.17
2011,54,71,12.84,0.9,2.57,16.31
2012,209,468,34.98,2.45,7.0,44.43
2013,170,317,4.08,0.29,0.82,5.19
2014,22,10,6.7,0.47,1.34,8.51
2015,87,247,10.44,0.73,2.09,13.26
2016,203,452,16.7,1.17,3.34,21.21
2017,154,211,8.08,0.57,1.62,10.27
2018,138,355,35.28,2.47,7.06,44.81
2019,101,477,11.5,0.81,2.3,14.61
2020,168,42,32.19,2.25,6.44,40.88
2021,246,449,33.9,2.37,6.78,43.05
2022,154,152,31.74,2.22,6.35,40.31
2023,103,226,12.25,0.86,2.45,15.56
2024,158,267,8.79,0.62,1.76,11.17
2025,46,395,33.81,2.37,6.76,42.94
2026,241,249,34.44,2.41,6.89,43.74
2027,193,327,3.61,0.25,0.72,4.58
2028,80,254,14.46,1.01,2.89,18.36
2029,130,321,26.61,1.86,5.32,33.79
2030,116,305,27.6,1.93,5.52,35.05
2031,2,360,4.34,0.3,0.87,5.51
2032,100,103,30.63,2.14,6.13,38.9
2033,217,259,33.12,2.32,6.62,42.06
2034,215,326,9.56,0.67,1.91,12.14
2035,175,457,17.18,1.2,3.44,21.82
2036,222,162,3.42,0.24,0.68,4.34
2037,48,401,23.18,1.62,4.64,29.44
2038,96,400,7.67,0.54,1.53,9.74
2039,203,454,25.05,1.75,5.01,31.81
2040,168,126,22.92,1.6,4.58,29.1
2041,243,62,17.08,1.2,3.42,21.7
2042,159,360,4.21,0.29,0.84,5.34
2043,83,428,18.69,1.31,3.74,23.74
2044,169,482,8.94,0.63,1.79,11.36
2045,143,137,32.19,2.25,6.44,40.88
2046,197,364,8.04,0.56,1.61,10.21
2047,51,12,6.48,0.45,1.3,8.23
2048,205,480,10.38,0.73,2.08,13.19
2049,154,416,12.12,0.85,2.42,15.39
2050,80,63,6.88,0.48,1.38,8.74
2051,25,179,4.25,0.3,0.85,5.4
2052,78,264,19.82,1.39,3.96,25.17
2053,116,472,9.2,0.64,1.84,11.68
2054,73,356,20.5,1.44,4.1,26.04
2055,156,4,6.08,0.43,1.22,7.73
2056,200,118,6.24,0.44,1.25,7.93
2057,106,415,37.47,2.62,7.49,47.58
2058,194,113,6.35,0.44,1.27,8.06
2059,246,309,11.85,0.83,2.37,15.05
2060,28,88,10.5,0.74,2.1,13.34
2061,85,179,9.7,0.68,1.94,12.32
2062,143,309,10.73,0.75,2.15,13.63
2063,198,313,8.02,0.56,1.6,10.18
2064,184,363,17.78,1.24,3.56,22.58
2065,4,292,3.63,0.25,0.73,4.61
2066,104,208,4.57,0.32,0.91,5.8
2067,70,493,37.08,2.6,7.42,47.1
2068,9,493,24.82,1.74,4.96,31.52
2069,171,72,33.51,2.35,6.7,42.56
2070,215,134,13.05,0.91,2.61,16.57
2071,3,375,4.76,0.33,0.95,6.04
2072,247,123,2.02,0.14,0.4,2.56
2073,185,292,12.28,0.86,2.46,15.6
2074,40,490,2.26,0.16,0.45,2.87
2075,64,454,22.96,1.61,4.59,29.16
2076,137,418,6.25,0.44,1.25,7.94
2077,128,324,7.4,0.52,1.48,9.4
2078,237,234,2.11,0.15,0.42,2.68
2079,125,60,24.69,1.73,4.94,31.36
2080,211,108,11.16,0.78,2.23,14.17
2081,216,257,37.56,2.63,7.51,47.7
2082,41,98,34.08,2.39,6.82,43.29
2083,173,366,13.48,0.94,2.7,17.12
2084,21,498,12.1,0.85,2.42,15.37
2085,194,10,6.92,0.48,1.38,8.78
2086,70,230,16.26,1.14,3.25,20.65
2087,234,280,5.54,0.39,1.11,7.04
2088,139,183,12.38,0.87,2.48,15.73
2089,93,269,17.58,1.23,3.52,22.33
2090,60,127,6.8,0.48,1.36,8.64
2091,207,167,2.03,0.14,0.41,2.58
2092,95,456,7.68,0.54,1.54,9.76
2093,51,218,14.7,1.03,2.94,18.67
2094,31,363,34.05,2.38,6.81,43.24
2095,180,456,32.7,2.29,6.54,41.53
2096,44,226,3.51,0.25,0.7,4.46
2097,183,493,12.3,0.86,2.46,15.62
2098,224,91,11.37,0.8,2.27,14.44
2099,169,361,34.08,2.39,6.82,43.29
2100,146,96,8.25,0.58,1.65,10.48
2101,6,242,10.51,0.74,2.1,13.35
2102,66,405,25.24,1.77,5.05,32.06
2103,194,255,19.05,1.33,3.81,24.19
2104,139,318,12.29,0.86,2.46,15.61
2105,75,2,24.74,1.73,4.95,31.42
2106,205,194,8.37,0.59,1.67,10.63
2107,51,419,23.19,1.62,4.64,29.45
2108,147,409,36.69,2.57,7.34,46.6
2109,106,179,37.47,2.62,7.49,47.58
2110,111,411,23.86,1.67,4.77,30.3
2111,101,58,8.9,0.62,1.78,11.3
2112,219,207,7.23,0.51,1.45,9.19
2113,109,62,22.94,1.61,4.59,29.14
2114,208,367,7.39,0.52,1.48,9.39
2115,80,188,13.76,0.96,2.75,17.47
2116,164,192,12.72,0.89,2.54,16.15
2117,37,410,18.36,1.29,3.67,23.32
2118,46,310,10.0,0.7,2.0,12.7
2119,243,278,17.08,1.2,3.42,21.7
2120,48,166,11.59,0.81,2.32,14.72
2121,81,335,4.64,0.32,0.93,5.89
2122,240,137,4.74,0.33,0.95,6.02
2123,155,125,24.48,1.71,4.9,31.09
2124,191,266,10.75,0.75,2.15,13.65
2125,28,59,31.5,2.21,6.3,40.01
2126,248,359,18.3,1.28,3.66,23.24
2127,159,411,18.62,1.3,3.72,23.64
2128,116,461,18.4,1.29,3.68,23.37
2129,55,483,6.07,0.42,1.21,7.7
2130,110,42,10.76,0.75,2.15,13.66
2131,92,441,7.23,0.51,1.45,9.19
2132,36,122,37.53,2.63,7.51,47.67
2133,19,82,2.76,0.19,0.55,3.5
2134,177,483,20.5,1.44,4.1,26.04
2135,101,246,11.83,0.83,2.37,15.03
2136,19,208,6.26,0.44,1.25,7.95
2137,209,292,33.24,2.33,6.65,42.22
2138,214,489,8.94,0.63,1.79,11.36
2139,216,298,25.04,1.75,5.01,31.8
2140,159,221,27.93,1.96,5.59,35.48
2141,2,462,37.32,2.61,7.46,47.39
2142,65,248,38.82,2.72,7.76,49.3
2143,154,117,12.02,0.84,2.4,15.26
2144,15,469,12.48,0.87,2.5,15.85
2145,21,145,17.94,1.26,3.59,22.79
2146,1,70,32.28,2.26,6.46,41.0
2147,173,52,12.0,0.84,2.4,15.24
2148,144,104,19.8,1.39,3.96,25.15
2149,221,487,15.2,1.06,3.04,19.3
2150,152,279,20.96,1.47,4.19,26.62
2151,146,358,5.06,0.35,1.01,6.42
2152,160,387,8.01,0.56,1.6,10.17
2153,48,305,35.64,2.49,7.13,45.26
2154,83,110,6.23,0.44,1.25,7.92
2155,191,53,10.75,0.75,2.15,13.65
2156,55,338,25.34,1.77,5.07,32.18
2157,231,25,37.29,2.61,7.46,47.36
2158,123,284,21.86,1.53,4.37,27.76
2159,60,356,25.74,1.8,5.15,32.69
2160,2,40,6.51,0.46,1.3,8.27
2161,15,375,2.42,0.17,0.48,3.07
2162,131,216,24.63,1.72,4.93,31.28
2163,118,122,15.74,1.1,3.15,19.99
2164,40,89,24.96,1.75,4.99,31.7
2165,65,281,18.15,1.27,3.63,23.05
2166,94,198,24.46,1.71,4.89,31.06
2167,1,34,10.76,0.75,2.15,13.66
2168,71,475,10.29,0.72,2.06,13.07
2169,119,368,2.66,0.19,0.53,3.38
2170,150,350,30.96,2.17,6.19,39.32
2171,149,369,25.02,1.75,5.0,31.77
2172,127,429,38.49,2.69,7.7,48.88
2173,246,306,11.3,0.79,2.26,14.35
2174,223,294,8.56,0.6,1.71,10.87
2175,240,188,12.5,0.88,2.5,15.88
2176,140,438,21.45,1.5,4.29,27.24
2177,207,228,2.03,0.14,0.41,2.58
2178,74,156,12.39,0.87,2.48,15.74
2179,53,198,22.58,1.58,4.52,28.68
2180,246,214,11.85,0.83,2.37,15.05
2181,66,388,2.42,0.17,0.48,3.07
2182,200,281,6.24,0.44,1.25,7.93
2183,215,443,13.05,0.91,2.61,16.57
2184,99,162,8.47,0.59,1.69,10.75
2185,148,460,18.24,1.28,3.65,23.17
2186,155,189,23.43,1.64,4.69,29.76
2187,21,255,10.35,0.72,2.07,13.14
2188,125,102,16.46,1.15,3.29,20.9
2189,250,131,14.84,1.04,2.97,18.85
2190,191,330,38.46,2.69,7.69,48.84
2191,25,358,20.01,1.4,4.0,25.41
2192,42,379,35.19,2.46,7.04,44.69
2193,219,213,2.41,0.17,0.48,3.06
2194,57,438,11.28,0.79,2.26,14.33
2195,177,294,11.2,0.78,2.24,14.22
2196,224,210,9.01,0.63,1.8,11.44
2197,44,289,9.16,0.64,1.83,11.63
2198,26,263,25.53,1.79,5.11,32.43
2199,13,161,6.04,0.42,1.21,7.67
2200,35,30,23.6,1.65,4.72,29.97
2201,7,188,7.17,0.5,1.43,9.1
2202,202,223,11.24,0.79,2.25,14.28
2203,130,96,17.74,1.24,3.55,22.53
2204,40,34,24.96,1.75,4.99,31.7
2205,168,494,22.92,1.6,4.58,29.1
2206,232,111,6.5,0.46,1.3,8.26
2207,239,125,6.35,0.44,1.27,8.06
2208,139,141,24.58,1.72,4.92,31.22
2209,105,224,13.35,0.93,2.67,16.95
2210,160,338,7.8,0.55,1.56,9.91
2211,158,35,10.16,0.71,2.03,12.9
2212,84,79,4.09,0.29,0.82,5.2
2213,186,340,6.52,0.46,1.3,8.28
2214,193,110,13.94,0.98,2.79,17.71
2215,34,154,2.32,0.16,0.46,2.94
2216,49,412,2.51,0.18,0.5,3.19
2217,95,117,4.3,0.3,0.86,5.46
2218,189,139,21.34,1.49,4.27,27.1
2219,233,297,10.32,0.72,2.06,13.1
2220,205,137,10.38,0.73,2.08,13.19
2221,22,230,10.99,0.77,2.2,13.96
2222,176,434,16.05,1.12,3.21,20.38
2223,223,176,22.74,1.59,4.55,28.88
2224,161,137,11.83,0.83,2.37,15.03
2225,44,184,20.28,1.42,4.06,25.76
2226,110,238,16.04,1.12,3.21,20.37
2227,197,339,8.04,0.56,1.61,10.21
2228,183,310,10.02,0.7,2.0,12.72
2229,44,359,30.42,2.13,6.08,38.63
2230,76,291,2.72,0.19,0.54,3.45
2231,95,363,7.4,0.52,1.48,9.4
2232,94,219,17.48,1.22,3.5,22.2
2233,116,481,27.6,1.93,5.52,35.05
2234,68,98,5.2,0.36,1.04,6.6
2235,15,413,4.84,0.34,0.97,6.15
2236,160,226,3.9,0.27,0.78,4.95
2237,116,397,27.6,1.93,5.52,35.05
2238,122,283,8.57,0.6,1.71,10.88
2239,133,120,11.7,0.82,2.34,14.86
2240,171,422,11.17,0.78,2.23,14.18
2241,32,275,8.68,0.61,1.74,11.03
2242,49,104,24.42,1.71,4.88,31.01
2243,82,309,16.35,1.14,3.27,20.76
2244,244,281,12.57,0.88,2.51,15.96
2245,174,142,17.12,1.2,3.42,21.74
2246,5,268,20.86,1.46,4.17,26.49
2247,203,176,16.7,1.17,3.34,21.21
2248,3,134,4.76,0.33,0.95,6.04
2249,185,367,15.24,1.07,3.05,19.36
2250,87,286,10.44,0.73,2.09,13.26
2251,101,387,7.2,0.5,1.44,9.14
2252,233,319,15.48,1.08,3.1,19.66
2253,95,361,12.9,0.9,2.58,16.38
2254,174,449,8.56,0.6,1.71,10.87
2255,217,275,10.0,0.7,2.0,12.7
2256,45,486,12.2,0.85,2.44,15.49
2257,71,401,17.34,1.21,3.47,22.02
2258,27,68,11.62,0.81,2.32,14.75
2259,134,484,24.1,1.69,4.82,30.61
2260,197,33,2.68,0.19,0.54,3.41
2261,34,209,4.64,0.32,0.93,5.89
2262,160,358,3.9,0.27,0.78,4.95
2263,65,310,18.78,1.31,3.76,23.85
2264,126,120,6.06,0.42,1.21,7.69
2265,137,205,24.42,1.71,4.88,31.01
2266,196,270,17.8,1.25,3.56,22.61
2267,239,364,12.7,0.89,2.54,16.13
2268,51,171,7.04,0.49,1.41,8.94
2269,125,91,9.12,0.64,1.82,11.58
2270,136,44,25.16,1.76,5.03,31.95
2271,110,448,8.02,0.56,1.6,10.18
2272,73,187,8.34,0.58,1.67,10.59
2273,56,140,9.94,0.7,1.99,12.63
